day,hour,weather,is_workday,flow
4,1,晴,1,361
4,2,晴,1,420
4,3,晴,1,332
4,4,雨,1,583
4,5,晴,1,441
4,6,晴,1,717
4,7,晴,1,1201
4,8,晴,1,1290
4,9,雪,1,1182
4,10,雪,1,758
4,11,晴,1,646
4,12,雨,1,440
4,13,晴,1,461
4,14,雪,1,563
4,15,晴,1,714
4,16,晴,1,842
4,17,雨,1,1049
4,18,晴,1,1123
4,19,晴,1,1155
4,20,雨,1,781
4,21,雪,1,594
4,22,晴,1,627
4,23,晴,1,501
5,0,雨,0,268
5,1,晴,0,264
5,2,晴,0,263
5,3,晴,0,183
5,4,晴,0,121
5,5,晴,0,362
5,6,晴,0,622
5,7,晴,0,996
5,8,雨,0,1243
5,9,晴,0,921
5,10,晴,0,885
5,11,晴,0,631
5,12,雨,0,415
5,13,晴,0,438
5,14,雨,0,377
5,15,晴,0,340
5,16,晴,0,595
5,17,晴,0,1078
5,18,晴,0,1125
5,19,雨,0,816
5,20,晴,0,687
5,21,晴,0,605
5,22,晴,0,354
5,23,雨,0,298
6,0,晴,0,231
6,1,晴,0,399
6,2,晴,0,146
6,3,晴,0,243
6,4,晴,0,388
6,5,晴,0,440
6,6,晴,0,698
6,7,雨,0,1210
6,8,晴,0,1183
6,9,晴,0,1027
6,10,雪,0,542
6,11,晴,0,586
6,12,晴,0,469
6,13,晴,0,408
6,14,雪,0,374
6,15,晴,0,490
6,16,雨,0,607
6,17,晴,0,916
6,18,晴,0,1128
6,19,雨,0,991
6,20,晴,0,701
6,21,雨,0,416
6,22,雪,0,269
6,23,雨,0,303
7,0,晴,1,474
7,1,雨,1,314
7,2,晴,1,351
7,3,雨,1,426
7,4,晴,1,345
7,5,晴,1,502
7,6,雪,1,772
7,7,雪,1,1073
7,8,雪,1,1452
7,9,晴,1,1208
7,10,晴,1,890
7,11,雨,1,488
7,12,雨,1,458
7,13,晴,1,502
7,14,晴,1,488
7,15,晴,1,638
7,16,晴,1,806
7,17,晴,1,1153
7,18,晴,1,1165
7,19,雨,1,1061
7,20,雨,1,849
7,21,雪,1,535
7,22,雪,1,459
7,23,晴,1,610
8,0,雨,1,187
8,1,雪,1,475
8,2,晴,1,325
8,3,晴,1,351
8,4,晴,1,466
8,5,晴,1,495
8,6,雪,1,678
8,7,雨,1,1055
8,8,晴,1,1305
8,9,雪,1,1201
8,10,晴,1,832
8,11,晴,1,588
8,12,晴,1,480
8,13,晴,1,651
8,14,晴,1,504
8,15,晴,1,651
8,16,晴,1,744
8,17,晴,1,936
8,18,晴,1,1046
8,19,雨,1,1074
8,20,晴,1,816
8,21,晴,1,691
8,22,雪,1,506
8,23,雨,1,478
9,0,雪,1,373
9,1,晴,1,262
9,2,雪,1,372
9,3,晴,1,373
9,4,晴,1,355
9,5,雨,1,429
9,6,雨,1,915
9,7,雪,1,1148
9,8,雨,1,1274
9,9,晴,1,995
9,10,雪,1,684
9,11,晴,1,627
9,12,晴,1,448
9,13,晴,1,478
9,14,晴,1,522
9,15,雨,1,697
9,16,晴,1,839
9,17,晴,1,1058
9,18,晴,1,1319
9,19,晴,1,1115
9,20,晴,1,619
9,21,晴,1,689
9,22,雪,1,528
9,23,雨,1,327
10,0,晴,1,428
10,1,雪,1,376
10,2,晴,1,348
10,3,晴,1,415
10,4,晴,1,364
10,5,晴,1,466
10,6,晴,1,784
10,7,晴,1,1117
10,8,晴,1,1211
10,9,晴,1,1162
10,10,雨,1,958
10,11,晴,1,558
10,12,晴,1,449
10,13,晴,1,458
10,14,晴,1,398
10,15,晴,1,558
10,16,晴,1,749
10,17,雨,1,1048
10,18,晴,1,1268
10,19,雨,1,995
10,20,晴,1,713
10,21,晴,1,475
10,22,晴,1,462
10,23,雨,1,325
11,0,晴,1,418
11,1,雨,1,270
11,2,晴,1,272
11,3,晴,1,357
11,4,晴,1,299
11,5,晴,1,361
11,6,晴,1,709
11,7,晴,1,1070
11,8,晴,1,1317
11,9,晴,1,1195
11,10,雨,1,724
11,11,晴,1,584
11,12,晴,1,479
11,13,晴,1,629
11,14,晴,1,624
11,15,晴,1,469
11,16,晴,1,759
11,17,晴,1,1055
11,18,晴,1,1163
11,19,晴,1,995
11,20,晴,1,691
11,21,雨,1,530
11,22,晴,1,312
11,23,雪,1,556
12,0,晴,0,281
12,1,雨,0,243
12,2,雨,0,192
12,3,晴,0,208
12,4,雪,0,428
12,5,晴,0,463
12,6,雨,0,649
12,7,晴,0,942
12,8,晴,0,1163
12,9,晴,0,998
12,10,晴,0,603
12,11,晴,0,505
12,12,晴,0,402
12,13,晴,0,370
12,14,晴,0,364
12,15,晴,0,534
12,16,雨,0,599
12,17,晴,0,1139
12,18,晴,0,1113
12,19,晴,0,952
12,20,晴,0,696
12,21,雨,0,600
12,22,晴,0,365
12,23,晴,0,448
13,0,晴,0,293
13,1,晴,0,332
13,2,晴,0,228
13,3,雨,0,327
13,4,晴,0,210
13,5,晴,0,155
13,6,雨,0,567
13,7,雨,0,1024
13,8,晴,0,1271
13,9,晴,0,1030
13,10,晴,0,707
13,11,晴,0,529
13,12,晴,0,455
13,13,晴,0,502
13,14,雨,0,373
13,15,晴,0,506
13,16,晴,0,778
13,17,雨,0,977
13,18,晴,0,1202
13,19,晴,0,909
13,20,晴,0,734
13,21,晴,0,551
13,22,晴,0,282
13,23,晴,0,423
14,0,晴,1,363
14,1,晴,1,416
14,2,晴,1,364
14,3,晴,1,563
14,4,晴,1,507
14,5,雪,1,481
14,6,雨,1,814
14,7,晴,1,1031
14,8,晴,1,1314
14,9,雪,1,1131
14,10,晴,1,997
14,11,晴,1,626
14,12,晴,1,600
14,13,晴,1,456
14,14,晴,1,581
14,15,雪,1,388
14,16,晴,1,859
14,17,晴,1,979
14,18,晴,1,1109
14,19,晴,1,1033
14,20,晴,1,821
14,21,晴,1,561
14,22,晴,1,431
14,23,雪,1,542
15,0,晴,1,286
15,1,雪,1,336
15,2,晴,1,295
15,3,雨,1,363
15,4,晴,1,355
15,5,晴,1,446
15,6,晴,1,999
15,7,晴,1,1034
15,8,雨,1,1411
15,9,晴,1,910
15,10,晴,1,700
15,11,晴,1,600
15,12,雨,1,502
15,13,晴,1,545
15,14,晴,1,483
15,15,晴,1,568
15,16,雨,1,750
15,17,晴,1,1047
15,18,晴,1,1207
15,19,晴,1,1034
15,20,晴,1,729
15,21,晴,1,555
15,22,雨,1,531
15,23,晴,1,521
16,0,晴,1,297
16,1,雨,1,275
16,2,晴,1,216
16,3,雨,1,492
16,4,雨,1,265
16,5,晴,1,369
16,6,晴,1,854
16,7,晴,1,1009
16,8,晴,1,1159
16,9,雪,1,1079
16,10,雨,1,872
16,11,雨,1,581
16,12,晴,1,687
16,13,晴,1,556
16,14,晴,1,409
16,15,晴,1,581
16,16,晴,1,627
16,17,晴,1,1089
16,18,晴,1,1162
16,19,晴,1,1087
16,20,晴,1,887
16,21,晴,1,699
16,22,晴,1,500
16,23,晴,1,565
17,0,晴,1,322
17,1,晴,1,365
17,2,晴,1,228
17,3,晴,1,287
17,4,雨,1,410
17,5,晴,1,294
17,6,晴,1,801
17,7,晴,1,1137
17,8,晴,1,1348
17,9,晴,1,1001
17,10,晴,1,659
17,11,雨,1,663
17,12,晴,1,529
17,13,晴,1,476
17,14,晴,1,388
17,15,雨,1,541
17,16,雨,1,670
17,17,晴,1,1119
17,18,晴,1,1094
17,19,晴,1,1027
17,20,雨,1,822
17,21,晴,1,623
17,22,晴,1,476
17,23,晴,1,551
18,0,晴,1,415
18,1,晴,1,360
18,2,晴,1,385
18,3,雪,1,334
18,4,雪,1,454
18,5,雨,1,427
18,6,晴,1,681
18,7,晴,1,1163
18,8,晴,1,1216
18,9,雨,1,1225
18,10,晴,1,827
18,11,雨,1,429
18,12,晴,1,584
18,13,晴,1,525
18,14,晴,1,569
18,15,雨,1,577
18,16,雪,1,855
18,17,晴,1,990
18,18,晴,1,1273
18,19,雪,1,1070
18,20,雨,1,622
18,21,雨,1,433
18,22,晴,1,488
18,23,晴,1,436
19,0,晴,0,95
19,1,晴,0,153
19,2,晴,0,236
19,3,雨,0,185
19,4,雪,0,449
19,5,晴,0,281
19,6,雪,0,787
19,7,晴,0,1152
19,8,晴,0,1158
19,9,晴,0,975
19,10,雨,0,654
19,11,雪,0,470
19,12,雨,0,384
19,13,雨,0,309
19,14,晴,0,440
19,15,晴,0,443
19,16,晴,0,846
19,17,晴,0,1020
19,18,晴,0,1070
19,19,晴,0,991
19,20,雨,0,700
19,21,晴,0,560
19,22,晴,0,272
19,23,晴,0,300
20,0,雨,0,182
20,1,晴,0,249
20,2,晴,0,0
20,3,晴,0,181
20,4,雨,0,370
20,5,晴,0,243
20,6,晴,0,713
20,7,晴,0,1047
20,8,雨,0,1232
20,9,雨,0,1080
20,10,晴,0,774
20,11,雨,0,606
20,12,晴,0,385
20,13,雨,0,336
20,14,晴,0,446
20,15,晴,0,505
20,16,晴,0,722
20,17,雪,0,826
20,18,晴,0,1160
20,19,晴,0,837
20,20,雨,0,678
20,21,晴,0,441
20,22,雪,0,509
20,23,雪,0,286
21,0,晴,1,364
21,1,晴,1,382
21,2,晴,1,321
21,3,晴,1,365
21,4,晴,1,326
21,5,雨,1,444
21,6,雪,1,823
21,7,晴,1,1080
21,8,晴,1,1289
21,9,雨,1,960
21,10,晴,1,658
21,11,雪,1,551
21,12,晴,1,416
21,13,雨,1,488
21,14,晴,1,602
21,15,晴,1,678
21,16,雪,1,739
21,17,雪,1,953
21,18,晴,1,1101
21,19,晴,1,1177
21,20,雪,1,829
21,21,晴,1,557
21,22,晴,1,518
21,23,晴,1,482
22,0,雨,1,390
22,1,晴,1,347
22,2,雨,1,406
22,3,雨,1,409
22,4,雨,1,289
22,5,晴,1,460
22,6,雪,1,894
22,7,晴,1,1162
22,8,晴,1,1329
22,9,晴,1,1062
22,10,晴,1,735
22,11,晴,1,583
22,12,晴,1,463
22,13,晴,1,582
22,14,晴,1,499
22,15,晴,1,518
22,16,晴,1,839
22,17,雨,1,957
22,18,雨,1,1198
22,19,晴,1,999
22,20,晴,1,949
22,21,雨,1,571
22,22,晴,1,442
22,23,晴,1,504
23,0,晴,1,335
23,1,晴,1,291
23,2,晴,1,429
23,3,晴,1,401
23,4,晴,1,386
23,5,雨,1,370
23,6,晴,1,939
23,7,雨,1,1151
23,8,雨,1,1253
23,9,雨,1,1210
23,10,晴,1,803
23,11,雨,1,660
23,12,晴,1,546
23,13,雨,1,677
23,14,晴,1,430
23,15,雨,1,531
23,16,晴,1,994
23,17,雨,1,1037
23,18,晴,1,1109
23,19,晴,1,1090
23,20,晴,1,844
23,21,雨,1,564
23,22,雨,1,363
23,23,晴,1,429
24,0,雪,1,225
24,1,雨,1,510
24,2,晴,1,219
24,3,晴,1,305
24,4,雪,1,407
24,5,晴,1,334
24,6,雨,1,826
24,7,雪,1,1068
24,8,晴,1,1325
24,9,晴,1,1099
24,10,晴,1,781
24,11,晴,1,669
24,12,晴,1,422
24,13,晴,1,528
24,14,雪,1,577
24,15,晴,1,474
24,16,雨,1,633
24,17,晴,1,1023
24,18,晴,1,1032
24,19,雨,1,1065
24,20,晴,1,809
24,21,雨,1,462
24,22,晴,1,580
24,23,晴,1,599
25,0,雨,1,379
25,1,雨,1,453
25,2,晴,1,323
25,3,晴,1,307
25,4,晴,1,354
25,5,雪,1,351
25,6,晴,1,747
25,7,晴,1,1123
25,8,雪,1,1311
25,9,雨,1,1159
25,10,晴,1,626
25,11,晴,1,819
25,12,晴,1,439
25,13,晴,1,554
25,14,雪,1,535
25,15,晴,1,521
25,16,雨,1,801
25,17,雨,1,971
25,18,雪,1,1197
25,19,晴,1,1205
25,20,雨,1,721
25,21,雪,1,579
25,22,晴,1,426
25,23,晴,1,554
26,0,晴,0,188
26,1,晴,0,273
26,2,雪,0,330
26,3,雨,0,231
26,4,晴,0,309
26,5,晴,0,362
26,6,晴,0,778
26,7,雨,0,1068
26,8,雨,0,1303
26,9,晴,0,1002
26,10,晴,0,592
26,11,晴,0,352
26,12,晴,0,290
26,13,晴,0,378
26,14,晴,0,426
26,15,晴,0,417
26,16,晴,0,477
26,17,雨,0,890
26,18,晴,0,1063
26,19,晴,0,943
26,20,晴,0,773
26,21,晴,0,327
26,22,晴,0,467
26,23,雨,0,447
27,0,雪,0,229
27,1,雪,0,281
27,2,晴,0,234
27,3,晴,0,295
27,4,晴,0,195
27,5,晴,0,255
27,6,雨,0,541
27,7,晴,0,1054
27,8,雨,0,1151
27,9,晴,0,896
27,10,晴,0,616
27,11,晴,0,528
27,12,雨,0,427
27,13,晴,0,327
27,14,雪,0,524
27,15,晴,0,467
27,16,晴,0,695
27,17,晴,0,956
27,18,雨,0,1077
27,19,晴,0,977
27,20,晴,0,749
27,21,雪,0,449
27,22,晴,0,472
27,23,晴,0,345
28,0,雨,1,495
28,1,晴,1,283
28,2,晴,1,527
28,3,晴,1,252
28,4,雨,1,336
28,5,晴,1,470
28,6,晴,1,892
28,7,晴,1,1252
28,8,晴,1,1416
28,9,晴,1,988
28,10,雪,1,827
28,11,晴,1,522
28,12,晴,1,592
28,13,雪,1,591
28,14,晴,1,537
28,15,晴,1,531
28,16,晴,1,669
28,17,晴,1,988
28,18,晴,1,1139
28,19,雨,1,1047
28,20,晴,1,840
28,21,晴,1,582
28,22,晴,1,419
28,23,晴,1,402
29,0,雪,1,405
29,1,雨,1,505
29,2,晴,1,357
29,3,雪,1,297
29,4,晴,1,285
29,5,晴,1,484
29,6,晴,1,920
29,7,晴,1,1098
29,8,晴,1,1257
29,9,晴,1,1010
29,10,雪,1,800
29,11,雨,1,646
29,12,晴,1,454
29,13,雨,1,520
29,14,晴,1,553
29,15,雨,1,620
29,16,晴,1,671
29,17,晴,1,973
29,18,晴,1,1206
29,19,晴,1,1101
29,20,晴,1,929
29,21,晴,1,483
29,22,雪,1,532
29,23,雨,1,501
30,0,晴,1,314
30,1,雨,1,443
30,2,雨,1,395
30,3,晴,1,399
30,4,晴,1,269
30,5,晴,1,406
30,6,晴,1,798
30,7,雨,1,1136
30,8,晴,1,1497
30,9,雨,1,1099
30,10,晴,1,592
30,11,晴,1,589
30,12,晴,1,555
30,13,晴,1,507
30,14,晴,1,281
30,15,晴,1,597
30,16,晴,1,800
30,17,晴,1,942
30,18,晴,1,1144
30,19,雪,1,1040
30,20,晴,1,712
30,21,晴,1,540
30,22,晴,1,537
30,23,晴,1,451
31,0,晴,1,227
31,1,晴,1,422
31,2,晴,1,266
31,3,雨,1,334
31,4,晴,1,324
31,5,晴,1,340
31,6,雨,1,864
31,7,晴,1,1184
31,8,晴,1,1268
31,9,晴,1,1121
31,10,雨,1,803
31,11,晴,1,494
31,12,晴,1,435
31,13,晴,1,500
31,14,晴,1,417
31,15,晴,1,570
31,16,雨,1,573
31,17,晴,1,1009
31,18,晴,1,1222
31,19,雪,1,1061
31,20,雨,1,848
31,21,晴,1,484
31,22,晴,1,505
31,23,晴,1,575
32,0,晴,1,372
32,1,晴,1,413
32,2,晴,1,254
32,3,雨,1,356
32,4,晴,1,346
32,5,晴,1,441
32,6,雨,1,730
32,7,晴,1,1226
32,8,晴,1,1354
32,9,晴,1,1215
32,10,晴,1,816
32,11,雨,1,527
32,12,晴,1,563
32,13,晴,1,607
32,14,晴,1,535
32,15,雨,1,499
32,16,晴,1,710
32,17,雪,1,1048
32,18,雨,1,1316
32,19,雨,1,1189
32,20,雨,1,689
32,21,晴,1,602
32,22,雪,1,465
32,23,晴,1,398
33,0,晴,0,296
33,1,晴,0,261
33,2,晴,0,266
33,3,晴,0,238
33,4,晴,0,288
33,5,雨,0,355
33,6,雪,0,761
33,7,晴,0,957
33,8,雨,0,1271
33,9,晴,0,1081
33,10,晴,0,720
33,11,雪,0,486
33,12,晴,0,407
33,13,雨,0,396
33,14,雨,0,415
33,15,雨,0,354
33,16,雨,0,841
33,17,晴,0,1031
33,18,晴,0,1244
33,19,雨,0,995
33,20,晴,0,607
33,21,晴,0,512
33,22,晴,0,479
33,23,雪,0,327
34,0,晴,0,353
34,1,晴,0,216
34,2,晴,0,307
34,3,晴,0,367
34,4,晴,0,286
34,5,晴,0,450
34,6,雨,0,578
34,7,晴,0,934
34,8,晴,0,1134
34,9,雨,0,855
34,10,雨,0,558
34,11,晴,0,600
34,12,晴,0,508
34,13,晴,0,357
34,14,晴,0,590
34,15,晴,0,450
34,16,晴,0,806
34,17,晴,0,1096
34,18,晴,0,1050
34,19,雨,0,1011
34,20,晴,0,746
34,21,雨,0,421
34,22,雨,0,190
34,23,晴,0,465
35,0,晴,1,282
35,1,晴,1,339
35,2,晴,1,365
35,3,晴,1,397
35,4,晴,1,336
35,5,晴,1,455
35,6,雨,1,890
35,7,晴,1,968
35,8,晴,1,1187
35,9,晴,1,1029
35,10,晴,1,752
35,11,晴,1,646
35,12,晴,1,597
35,13,雨,1,487
35,14,晴,1,497
35,15,晴,1,685
35,16,晴,1,773
35,17,晴,1,1014
35,18,晴,1,1272
35,19,晴,1,1107
35,20,晴,1,789
35,21,晴,1,527
35,22,雪,1,434
35,23,晴,1,429
36,0,雪,1,282
36,1,雨,1,276
36,2,晴,1,308
36,3,晴,1,350
36,4,雪,1,372
36,5,晴,1,343
36,6,晴,1,814
36,7,晴,1,1130
36,8,雪,1,1291
36,9,晴,1,1074
36,10,雨,1,705
36,11,晴,1,629
36,12,晴,1,521
36,13,晴,1,530
36,14,晴,1,478
36,15,晴,1,530
36,16,雨,1,838
36,17,晴,1,1258
36,18,雨,1,1176
36,19,雨,1,1057
36,20,晴,1,750
36,21,晴,1,507
36,22,晴,1,476
36,23,晴,1,662
37,0,晴,1,293
37,1,晴,1,355
37,2,雨,1,298
37,3,雨,1,346
37,4,晴,1,307
37,5,晴,1,393
37,6,雨,1,678
37,7,雨,1,1130
37,8,雨,1,1271
37,9,晴,1,1163
37,10,雪,1,789
37,11,雪,1,525
37,12,晴,1,436
37,13,晴,1,502
37,14,雨,1,617
37,15,雪,1,528
37,16,晴,1,611
37,17,雨,1,1061
37,18,晴,1,1295
37,19,晴,1,1088
37,20,雪,1,659
37,21,晴,1,583
37,22,雨,1,579
37,23,雪,1,467
38,0,晴,1,306
38,1,雨,1,308
38,2,晴,1,334
38,3,晴,1,258
38,4,晴,1,379
38,5,晴,1,453
38,6,雪,1,815
38,7,晴,1,1119
38,8,晴,1,1204
38,9,晴,1,1102
38,10,晴,1,937
38,11,雨,1,602
38,12,晴,1,450
38,13,雨,1,550
38,14,雨,1,657
38,15,晴,1,601
38,16,晴,1,744
38,17,晴,1,1149
38,18,晴,1,1160
38,19,晴,1,1124
38,20,雨,1,712
38,21,晴,1,540
38,22,晴,1,573
38,23,晴,1,601
39,0,晴,1,341
39,1,雪,1,448
39,2,晴,1,379
39,3,晴,1,288
39,4,晴,1,332
39,5,雨,1,476
39,6,晴,1,904
39,7,晴,1,1204
39,8,晴,1,1382
39,9,雪,1,1017
39,10,雨,1,852
39,11,晴,1,637
39,12,晴,1,536
39,13,晴,1,554
39,14,晴,1,376
39,15,雨,1,391
39,16,晴,1,777
39,17,晴,1,1040
39,18,晴,1,1182
39,19,雨,1,1078
39,20,晴,1,773
39,21,雨,1,599
39,22,晴,1,583
39,23,晴,1,459
40,0,雨,0,277
40,1,晴,0,198
40,2,晴,0,99
40,3,晴,0,227
40,4,晴,0,348
40,5,晴,0,265
40,6,雪,0,728
40,7,晴,0,1094
40,8,雨,0,1258
40,9,晴,0,971
40,10,晴,0,635
40,11,雨,0,487
40,12,晴,0,435
40,13,雨,0,454
40,14,雨,0,465
40,15,晴,0,688
40,16,晴,0,775
40,17,晴,0,916
40,18,雨,0,1268
40,19,晴,0,856
40,20,晴,0,576
40,21,晴,0,536
40,22,晴,0,392
40,23,晴,0,209
41,0,雪,0,368
41,1,晴,0,298
41,2,晴,0,241
41,3,晴,0,236
41,4,晴,0,247
41,5,晴,0,168
41,6,晴,0,622
41,7,晴,0,969
41,8,晴,0,1286
41,9,晴,0,976
41,10,晴,0,724
41,11,晴,0,469
41,12,晴,0,343
41,13,晴,0,424
41,14,晴,0,411
41,15,雨,0,559
41,16,雪,0,625
41,17,晴,0,892
41,18,晴,0,1166
41,19,雨,0,930
41,20,晴,0,731
41,21,雪,0,430
41,22,雨,0,424
41,23,晴,0,352
42,0,晴,1,283
42,1,晴,1,173
42,2,晴,1,471
42,3,晴,1,312
42,4,晴,1,405
42,5,晴,1,420
42,6,晴,1,888
42,7,晴,1,984
42,8,晴,1,1316
42,9,雨,1,1183
42,10,雨,1,798
42,11,晴,1,524
42,12,晴,1,378
42,13,晴,1,451
42,14,晴,1,356
42,15,雨,1,632
42,16,晴,1,795
42,17,晴,1,1112
42,18,晴,1,1124
42,19,雨,1,957
42,20,晴,1,799
42,21,雨,1,612
42,22,雪,1,367
42,23,晴,1,445
43,0,晴,1,476
43,1,晴,1,412
43,2,晴,1,329
43,3,晴,1,254
43,4,雨,1,287
43,5,晴,1,399
43,6,晴,1,681
43,7,晴,1,1220
43,8,晴,1,1388
43,9,晴,1,1028
43,10,晴,1,945
43,11,晴,1,547
43,12,晴,1,515
43,13,雪,1,464
43,14,晴,1,425
43,15,晴,1,544
43,16,雨,1,613
43,17,雪,1,1016
43,18,晴,1,1192
43,19,雨,1,1063
43,20,晴,1,634
43,21,晴,1,454
43,22,晴,1,527
43,23,晴,1,406
44,0,雨,1,332
44,1,晴,1,448
44,2,晴,1,249
44,3,雪,1,282
44,4,晴,1,441
44,5,晴,1,288
44,6,晴,1,777
44,7,晴,1,1309
44,8,雪,1,1323
44,9,晴,1,1194
44,10,晴,1,758
44,11,晴,1,482
44,12,晴,1,392
44,13,雪,1,522
44,14,雪,1,534
44,15,雨,1,715
44,16,晴,1,728
44,17,雨,1,1067
44,18,晴,1,1190
44,19,雪,1,951
44,20,晴,1,777
44,21,晴,1,657
44,22,晴,1,564
44,23,晴,1,443
45,0,晴,1,567
45,1,雨,1,328
45,2,雪,1,445
45,3,雨,1,324
45,4,晴,1,457
45,5,雨,1,417
45,6,晴,1,783
45,7,晴,1,1203
45,8,晴,1,1456
45,9,雨,1,1103
45,10,晴,1,761
45,11,晴,1,524
45,12,雨,1,443
45,13,雪,1,448
45,14,晴,1,470
45,15,晴,1,642
45,16,雨,1,798
45,17,晴,1,1102
45,18,雨,1,1255
45,19,雨,1,1139
45,20,雨,1,696
45,21,晴,1,590
45,22,晴,1,381
45,23,晴,1,370
46,0,晴,1,358
46,1,雪,1,339
46,2,晴,1,352
46,3,晴,1,400
46,4,晴,1,481
46,5,雨,1,434
46,6,晴,1,781
46,7,晴,1,1066
46,8,晴,1,1369
46,9,雪,1,1072
46,10,晴,1,772
46,11,晴,1,634
46,12,晴,1,521
46,13,晴,1,504
46,14,晴,1,444
46,15,雨,1,600
46,16,晴,1,932
46,17,晴,1,941
46,18,晴,1,1111
46,19,雨,1,1107
46,20,雨,1,776
46,21,晴,1,683
46,22,晴,1,453
46,23,晴,1,572
47,0,晴,0,276
47,1,晴,0,174
47,2,雨,0,200
47,3,晴,0,252
47,4,雨,0,195
47,5,晴,0,424
47,6,晴,0,752
47,7,晴,0,983
47,8,雨,0,1187
47,9,雪,0,1098
47,10,晴,0,689
47,11,晴,0,642
47,12,晴,0,456
47,13,晴,0,337
47,14,雪,0,328
47,15,晴,0,558
47,16,雨,0,622
47,17,晴,0,956
47,18,雪,0,873
47,19,晴,0,946
47,20,晴,0,545
47,21,晴,0,360
47,22,雨,0,511
47,23,雨,0,375
48,0,晴,0,220
48,1,雨,0,418
48,2,晴,0,327
48,3,晴,0,379
48,4,晴,0,366
48,5,晴,0,399
48,6,晴,0,818
48,7,晴,0,962
48,8,雨,0,1129
48,9,晴,0,910
48,10,晴,0,554
48,11,雨,0,493
48,12,晴,0,292
48,13,晴,0,312
48,14,晴,0,395
48,15,晴,0,262
48,16,晴,0,651
48,17,晴,0,946
48,18,雪,0,1261
48,19,晴,0,962
48,20,雨,0,667
48,21,雪,0,597
48,22,晴,0,393
48,23,晴,0,416
49,0,晴,1,428
49,1,晴,1,290
49,2,晴,1,429
49,3,雪,1,243
49,4,雨,1,418
49,5,晴,1,488
49,6,晴,1,762
49,7,晴,1,1108
49,8,晴,1,1433
49,9,晴,1,1114
49,10,晴,1,837
49,11,晴,1,588
49,12,晴,1,461
49,13,晴,1,455
49,14,晴,1,544
49,15,晴,1,686
49,16,雨,1,653
49,17,晴,1,1171
49,18,晴,1,1251
49,19,晴,1,1026
49,20,晴,1,783
49,21,晴,1,623
49,22,晴,1,425
49,23,雪,1,488
50,0,晴,1,350
50,1,晴,1,219
50,2,晴,1,417
50,3,晴,1,302
50,4,晴,1,319
50,5,晴,1,427
50,6,晴,1,830
50,7,晴,1,1152
50,8,雪,1,1303
50,9,晴,1,1149
50,10,晴,1,736
50,11,晴,1,596
50,12,雪,1,558
50,13,雪,1,456
50,14,雪,1,515
50,15,雪,1,619
50,16,雨,1,750
50,17,雨,1,945
50,18,晴,1,1311
50,19,晴,1,1139
50,20,晴,1,757
50,21,晴,1,698
50,22,晴,1,562
50,23,晴,1,484
51,0,晴,1,294
51,1,雨,1,263
51,2,雨,1,337
51,3,晴,1,281
51,4,晴,1,300
51,5,晴,1,461
51,6,晴,1,686
51,7,雨,1,994
51,8,雪,1,1308
51,9,晴,1,1170
51,10,雨,1,826
51,11,晴,1,457
51,12,晴,1,457
51,13,雪,1,455
51,14,晴,1,390
51,15,晴,1,576
51,16,晴,1,774
51,17,晴,1,1030
51,18,雪,1,1076
51,19,晴,1,1203
51,20,晴,1,693
51,21,晴,1,650
51,22,雨,1,625
